      969.14923096      969.14923096      969.14923096      969.14923096      969.14923096      969.14923096      969.14923096      969.14923096      969.14923096      969.14923096      969.14923096      969.14923096      969.14923096      969.14923096      969.14923096      969.14923096      969.14923096      969.14923096      969.14923096      969.14923096      969.14923096      969.14923096      969.14923096      969.14923096      969.14923096      969.14923096      969.14923096      969.14923096      969.14923096      969.14923096      969.14923096      969.14929199      969.14984131      969.15246582      969.15777588      969.15246582      969.14984131      969.14929199      969.14923096      969.14923096      969.14923096      969.14923096      969.14923096      969.14923096      969.14923096      969.14923096      969.14923096      969.14923096      969.14923096      969.14923096
      969.14923096      969.14923096      969.14923096      969.14923096      969.14923096      969.14923096      969.14923096      969.14923096      969.14923096      969.14923096      969.14923096      969.14923096      969.14923096      969.14923096      969.14923096      969.14923096      969.14923096      969.14923096      969.14923096      969.14923096      969.14923096      969.14923096      969.14923096      969.14923096      969.14923096      969.14923096      969.14923096      969.14923096      969.14923096      969.14923096      969.14923096      969.14929199      969.14984131      969.15246582      969.15777588      969.15246582      969.14984131      969.14929199      969.14923096      969.14923096      969.14923096      969.14923096      969.14923096      969.14923096      969.14923096      969.14923096      969.14923096      969.14923096      969.14923096      969.14923096
      952.56427002      952.56427002      952.56427002      952.56427002      952.56427002      952.56427002      952.56427002      952.56427002      952.56427002      952.56427002      952.56427002      952.56427002      952.56427002      952.56427002      952.56427002      952.56427002      952.56427002      952.56427002      952.56427002      952.56427002      952.56427002      952.56427002      952.56427002      952.56427002      952.56427002      952.56427002      952.56427002      952.56427002      952.56427002      952.56427002      952.56427002      952.56481934      952.56927490      952.59216309      952.64172363      952.59216309      952.56927490      952.56481934      952.56427002      952.56427002      952.56427002      952.56427002      952.56427002      952.56427002      952.56427002      952.56427002      952.56427002      952.56427002      952.56427002      952.56427002
      930.61602783      930.61602783      930.61602783      930.61602783      930.61602783      930.61602783      930.61602783      930.61602783      930.61602783      930.61602783      930.61602783      930.61602783      930.61602783      930.61602783      930.61602783      930.61602783      930.61602783      930.61602783      930.61602783      930.61602783      930.61602783      930.61602783      930.61602783      930.61602783      930.61602783      930.61602783      930.61602783      930.61602783      930.61602783      930.61602783      930.61608887      930.61865234      930.65856934      930.86096191      931.26135254      930.86096191      930.65856934      930.61865234      930.61608887      930.61602783      930.61602783      930.61602783      930.61602783      930.61602783      930.61602783      930.61602783      930.61602783      930.61602783      930.61602783      930.61602783
      907.69213867      907.69213867      907.69213867      907.69213867      907.69213867      907.69213867      907.69213867      907.69213867      907.69213867      907.69213867      907.69213867      907.69213867      907.69213867      907.69213867      907.69213867      907.69213867      907.69213867      907.69213867      907.69213867      907.69213867      907.69213867      907.69213867      907.69213867      907.69213867      907.69213867      907.69213867      907.69213867      907.69213867      907.69213867      907.69213867      907.69232178      907.71325684      907.95275879      909.07751465      911.44531250      909.07751465      907.95275879      907.71325684      907.69232178      907.69213867      907.69213867      907.69213867      907.69213867      907.69213867      907.69213867      907.69213867      907.69213867      907.69213867      907.69213867      907.69213867
      884.61535645      884.61535645      884.61535645      884.61535645      884.61535645      884.61535645      884.61535645      884.61535645      884.61535645      884.61535645      884.61535645      884.61535645      884.61535645      884.61535645      884.61535645      884.61535645      884.61535645      884.61535645      884.61535645      884.61535645      884.61535645      884.61535645      884.61535645      884.61535645      884.61535645      884.61535645      884.61535645      884.61535645      884.61535645      884.61535645      884.61547852      884.74200439      885.60839844      889.71862793      898.36553955      889.71862793      885.60839844      884.74200439      884.61547852      884.61535645      884.61535645      884.61535645      884.61535645      884.61535645      884.61535645      884.61535645      884.61535645      884.61535645      884.61535645      884.61535645
      861.53845215      861.53845215      861.53845215      861.53845215      861.53845215      861.53845215      861.53845215      861.53845215      861.53845215      861.53845215      861.53845215      861.53845215      861.53845215      861.53845215      861.53845215      861.53845215      861.53845215      861.53845215      861.53845215      861.53845215      861.53845215      861.53845215      861.53845215      861.53845215      861.53845215      861.53845215      861.53845215      861.53845215      861.53845215      861.53845215      861.56481934      861.78881836      863.44189453      871.29473877      887.82250977      871.29473877      863.44189453      861.78881836      861.56481934      861.53845215      861.53845215      861.53845215      861.53845215      861.53845215      861.53845215      861.53845215      861.53845215      861.53845215      861.53845215      861.53845215
      838.46154785      838.46154785      838.46154785      838.46154785      838.46154785      838.46154785      838.46154785      838.46154785      838.46154785      838.46154785      838.46154785      838.46154785      838.46154785      838.46154785      838.46154785      838.46154785      838.46154785      838.46154785      838.46154785      838.46154785      838.46154785      838.46154785      838.46154785      838.46154785      838.46154785      838.46154785      838.46154785      838.46154785      838.46154785      838.46154785      838.50128174      838.83642578      841.30957031      853.05468750      877.77569580      853.05468750      841.30957031      838.83642578      838.50128174      838.46154785      838.46154785      838.46154785      838.46154785      838.46154785      838.46154785      838.46154785      838.46154785      838.46154785      838.46154785      838.46154785
      815.38464355      815.38464355      815.38464355      815.38464355      815.38464355      815.38464355      815.38464355      815.38464355      815.38464355      815.38464355      815.38464355      815.38464355      815.38464355      815.38464355      815.38464355      815.38464355      815.38464355      815.38464355      815.38464355      815.38464355      815.38464355      815.38464355      815.38464355      815.38464355      815.38464355      815.38464355      815.38464355      815.38464355      815.38464355      815.38464355      815.43286133      815.88281250      819.17950439      834.83825684      867.79309082      834.83825684      819.17950439      815.88281250      815.43286133      815.38464355      815.38464355      815.38464355      815.38464355      815.38464355      815.38464355      815.38464355      815.38464355      815.38464355      815.38464355      815.38464355
      792.30767822      792.30767822      792.30767822      792.30767822      792.30767822      792.30767822      792.30767822      792.30767822      792.30767822      792.30767822      792.30767822      792.30767822      792.30767822      792.30767822      792.30767822      792.30767822      792.30767822      792.30767822      792.30767822      792.30767822      792.30767822      792.30767822      792.30767822      792.30767822      792.30767822      792.30767822      792.30767822      792.30767822      792.30767822      792.30767822      792.36871338      792.93011475      797.04455566      816.62139893      857.81036377      816.62139893      797.04455566      792.93011475      792.36871338      792.30767822      792.30767822      792.30767822      792.30767822      792.30767822      792.30767822      792.30767822      792.30767822      792.30767822      792.30767822      792.30767822
